Genre,n_titles,avg_rate,avg_gross_m,total_gross_m
Drama,611,8.1,47.84,29228.82
Adventure,185,8.1,194.53,35988.26
Action,170,8.09,153.76,26139.49
Comedy,165,8.08,102.34,16885.92
Crime,159,8.12,26.19,4165.0
Thriller,139,8.07,60.31,8383.11
Romance,130,8.08,31.21,4057.37
Biography,110,8.06,60.99,6708.44
Animation,94,8.05,137.01,12879.39
Mystery,92,8.1,42.47,3907.47
Sci-Fi,55,8.12,171.15,9413.12
History,46,8.08,81.6,3753.81
Fantasy,42,8.1,122.99,5165.67
War,31,8.19,38.22,1184.82
Music,28,8.08,98.19,2749.24
Family,25,8.14,77.67,1941.65
Film-Noir,15,8.11,2.44,36.66
Musical,10,8.05,4.88,48.77
Sport,8,8.17,34.49,275.94
Western,6,8.4,49.23,295.4
Horror,5,8.3,34.55,172.75
