Title,Genre,Rate,Votes,Gross(M)
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
313. Gone with the Wind (1939),History,8.1,285661,198.68
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
345. The King's Speech (2010),History,8.0,631099,138.8
7. Schindler's List (1993),History,8.9,1191793,96.9
103. Braveheart (1995),History,8.3,946442,75.6
298. Ben-Hur (1959),History,8.1,216130,74.7
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
400. JFK (1991),History,8.0,139634,70.41
210. Hacksaw Ridge (2016),History,8.1,423108,67.21
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
371. Cinderella Man (2005),History,8.0,174120,61.65
213. 12 Years a Slave (2013),History,8.1,628924,56.67
108. Amadeus (1984),History,8.3,363387,51.97
234. Hotel Rwanda (2004),History,8.1,330697,23.53
176. The Great Escape (1963),History,8.2,221171,12.1
156. Downfall (2004),History,8.2,326660,5.51
262. Raise the Red Lantern (1991),History,8.1,29016,2.6
288. Andrei Rublev (1966),History,8.1,45448,0.1
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
316. The Passion of Joan of Arc (1928),History,8.1,46359,0.02
